勘定科目コード,勘定科目名,区分,大分類,貸借区分,表示順
101,現金,BS,資産,借方,10
102,普通預金,BS,資産,借方,20
103,売掛金,BS,資産,借方,30
104,未収入金,BS,資産,借方,40
105,仮払金,BS,資産,借方,50
106,立替金,BS,資産,借方,60
107,前払費用,BS,資産,借方,70
108,商品,BS,資産,借方,80
151,建物,BS,資産,借方,90
152,車両運搬具,BS,資産,借方,100
153,工具器具備品,BS,資産,借方,110
201,買掛金,BS,負債,貸方,200
202,未払金,BS,負債,貸方,210
203,未払費用,BS,負債,貸方,220
204,前受金,BS,負債,貸方,230
205,仮受金,BS,負債,貸方,240
206,預り金,BS,負債,貸方,250
207,未払消費税等,BS,負債,貸方,260
301,資本金,BS,純資産,貸方,300
302,繰越利益剰余金,BS,純資産,貸方,310
401,売上高,PL,収益,貸方,400
402,雑収入,PL,収益,貸方,410
501,仕入高,PL,費用,借方,500
601,給料手当,PL,費用,借方,600
602,法定福利費,PL,費用,借方,610
603,旅費交通費,PL,費用,借方,620
604,通信費,PL,費用,借方,630
605,水道光熱費,PL,費用,借方,640
606,地代家賃,PL,費用,借方,650
607,支払手数料,PL,費用,借方,660
608,減価償却費,PL,費用,借方,670
609,保険料,PL,費用,借方,680
610,消耗品費,PL,費用,借方,690
611,広告宣伝費,PL,費用,借方,700
612,修繕費,PL,費用,借方,710
613,雑費,PL,費用,借方,720
